case_id,margin_level,response,persistence,policy,period,period_profit,total_d2c_quantity,total_retailer_quantity,average_exposure,average_order_state,capacity_used,listed_A,listed_B,listed_C,listed_D,d2c_quantity_A,d2c_quantity_B,d2c_quantity_C,d2c_quantity_D,retailer_quantity_R1_A,retailer_quantity_R1_C,retailer_quantity_R2_A,retailer_quantity_R2_D,retailer_quantity_R3_B,retailer_quantity_R3_C,retailer_quantity_R3_D,exposure_R1,exposure_R2,exposure_R3,order_state_R1,order_state_R2,order_state_R3
C007,0.5,0.6,0.4,myopic,2,1995.2,100.0,162.10000000000002,0.4444444444444444,0.84,262.1,1,1,0,0,50.0,50.0,0.0,0.0,32.800000000000004,24.6,28.700000000000003,24.6,25.0,13.2,13.2,0.5,0.5,0.3333333333333333,0.8200000000000001,0.8200000000000001,0.88
C007,0.5,0.6,0.4,myopic,3,1915.0,100.0,150.9,0.4444444444444444,0.7760000000000001,250.9,1,1,0,0,50.0,50.0,0.0,0.0,29.92,22.440000000000005,26.18,22.44,24.96,12.48,12.48,0.5,0.5,0.3333333333333333,0.748,0.748,0.8320000000000001
C007,0.5,0.6,0.4,lookahead,1,2045.0,90.0,180.0,0.41111111111111115,1.0,270.0,1,1,0,0,40.0,50.0,0.0,0.0,40.0,30.0,35.0,20.0,25.0,15.0,15.0,0.45,0.45,0.3333333333333333,1.0,1.0,1.0
C007,0.5,0.6,0.4,lookahead,2,2013.02,100.0,164.53,0.4444444444444444,0.852,264.53000000000003,1,1,0,0,50.0,50.0,0.0,0.0,33.52,25.14,29.330000000000005,25.14,25.0,13.2,13.2,0.5,0.5,0.3333333333333333,0.8380000000000001,0.8380000000000001,0.88
C007,0.5,0.6,0.4,lookahead,3,1922.1280000000002,100.0,151.872,0.4444444444444444,0.7808000000000002,251.872,1,1,0,0,50.0,50.0,0.0,0.0,30.208000000000006,22.656000000000002,26.432000000000002,22.656000000000002,24.96,12.48,12.48,0.5,0.5,0.3333333333333333,0.7552000000000001,0.7552000000000001,0.8320000000000001
C008,0.5,0.6,0.7,myopic,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C008,0.5,0.6,0.7,myopic,2,2052.3,100.0,170.0,0.4444444444444444,0.9199999999999999,270.0,1,1,0,0,50.0,50.0,0.0,0.0,33.15,27.3,31.85,27.3,25.0,11.3,14.1,0.5,0.5,0.3333333333333333,0.9099999999999999,0.9099999999999999,0.94
C008,0.5,0.6,0.7,myopic,3,2025.17,100.0,166.285,0.4444444444444444,0.8639999999999999,266.28499999999997,1,1,0,0,50.0,50.0,0.0,0.0,33.879999999999995,25.41,29.645,25.41,25.0,13.469999999999999,13.469999999999999,0.5,0.5,0.3333333333333333,0.847,0.847,0.8979999999999999
C008,0.5,0.6,0.7,lookahead,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C008,0.5,0.6,0.7,lookahead,2,2052.3,100.0,170.0,0.4444444444444444,0.9199999999999999,270.0,1,1,0,0,50.0,50.0,0.0,0.0,36.4,27.3,28.6,24.5,25.0,14.1,14.1,0.5,0.5,0.3333333333333333,0.9099999999999999,0.9099999999999999,0.94
C008,0.5,0.6,0.7,lookahead,3,2025.17,100.0,166.285,0.4444444444444444,0.8639999999999999,266.28499999999997,1,1,0,0,50.0,50.0,0.0,0.0,33.879999999999995,25.41,29.645,25.41,25.0,13.469999999999999,13.469999999999999,0.5,0.5,0.3333333333333333,0.847,0.847,0.8979999999999999
C009,0.5,0.6,0.9,myopic,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C009,0.5,0.6,0.9,myopic,2,2054.1000000000004,100.0,170.0,0.4444444444444444,0.9733333333333333,270.0,1,1,0,0,50.0,50.0,0.0,0.0,31.05,29.1,33.95,29.1,25.0,7.1,14.7,0.5,0.5,0.3333333333333333,0.97,0.97,0.98
C009,0.5,0.6,0.9,myopic,3,2053.29,100.0,170.0,0.4444444444444444,0.9493333333333333,270.0,1,1,0,0,50.0,50.0,0.0,0.0,31.995000000000005,28.29,33.004999999999995,28.29,25.0,8.990000000000009,14.43,0.5,0.5,0.3333333333333333,0.943,0.943,0.962
